n,k,d,pca_count,dolev_count,attempts
100,10,46,1000,1000,1000
100,4,46,1000,1000,1000
100,8,46,1000,1000,1000
100,9,46,1000,1000,1000
100,3,47,1000,1000,1000
100,5,47,1000,1000,1000
100,8,47,1000,1000,1000
100,7,47,1000,1000,1000
100,4,47,1000,1000,1000
100,6,47,1000,1000,1000
100,10,47,1000,1000,1000
100,9,47,1000,1000,1000
100,4,48,1000,1000,1000
100,8,48,1000,1000,1000
100,3,48,1000,1000,1000
100,7,48,1000,1000,1000
100,6,48,1000,1000,1000
100,5,48,1000,1000,1000
100,10,48,1000,1000,1000
100,9,48,1000,1000,1000
100,5,49,1000,1000,1000
100,10,49,1000,1000,1000
100,8,49,1000,1000,1000
100,3,49,1000,1000,1000
100,4,49,1000,1000,1000
100,6,49,1000,1000,1000
100,9,49,1000,1000,1000
100,7,49,1000,1000,1000
100,5,50,1000,1000,1000
100,10,50,1000,1000,1000
100,7,50,1000,1000,1000
100,8,50,1000,1000,1000
100,6,50,1000,1000,1000
100,3,50,1000,1000,1000
100,4,50,1000,1000,1000
100,9,50,1000,1000,1000
